project,issue_key,category,resolved,type,url,week
Address-Tracking,ATP-2314,Partner Commitment (Pc),2025-01-21T11:25:10.367-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135147,4
Reconciliation,RECON-1099,Team Management (TM),2025-01-23T09:08:22.765-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/137825,4
Reconciliation,RECON-1004,Feature - Product Enhancement,2025-01-24T09:04:57.485-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134645,4
Rating,RATE-1518,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T12:08:11.424-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136618,2
Address-Tracking,ATP-2392,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T11:25:44.493-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137172,4
Rating,RATE-1530,Carrier Compliance (Cc),2025-01-17T16:01:43.352-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136731,3
Address-Tracking,ATP-2404,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T11:27:34.775-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137564,4
Address-Tracking,ATP-1075,Carrier Compliance (Cc),2025-01-06T07:59:43.325-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/113191,2
Label Refund Manifest,LABEL-1824,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T13:01:31.343-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/133183,3
Reconciliation,RECON-1077,Technical Investment (Tech Inv),2025-01-17T12:51:19.244-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137017,3
Label Refund Manifest,LABEL-2314,"Unplanned (Bug, Incident, Inquiry)",2025-01-22T09:32:30.571-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137590,4
Label Refund Manifest,LABEL-1990,"Unplanned (Bug, Incident, Inquiry)",2025-01-02T04:51:42.105-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134617,1
